id,left,top,right,bottom,row_index,col_index,acres2,_count,_sum,_mean
1,-128.125000000000000,54.125000000000000,-127.875000000000000,53.875000000000000,0,0,112725,7064,2410,0.341166477916195
2,-128.125000000000000,53.875000000000000,-127.875000000000000,53.625000000000000,1,0,113394,7112,1468,0.206411698537683
3,-128.125000000000000,53.625000000000000,-127.875000000000000,53.375000000000000,2,0,114062,6930,2275,0.328282828282828
4,-128.125000000000000,53.375000000000000,-127.875000000000000,53.125000000000000,3,0,114727,6679,1103,0.165144482706992
5,-128.125000000000000,53.125000000000000,-127.875000000000000,52.875000000000000,4,0,115389,7137,782,0.109569847274765
6,-128.125000000000000,52.875000000000000,-127.875000000000000,52.625000000000000,5,0,116050,6897,2151,0.311874728142671
7,-128.125000000000000,52.625000000000000,-127.875000000000000,52.375000000000000,6,0,116708,6001,2863,0.47708715214131
8,-128.125000000000000,52.375000000000000,-127.875000000000000,52.125000000000000,7,0,117364,5564,1607,0.28882099209202
9,-128.125000000000000,52.125000000000000,-127.875000000000000,51.875000000000000,8,0,118018,4983,234,0.0469596628537026
10,-128.125000000000000,51.875000000000000,-127.875000000000000,51.625000000000000,9,0,118669,3003,46,0.0153180153180153
11,-128.125000000000000,51.625000000000000,-127.875000000000000,51.375000000000000,10,0,119318,4422,352,0.0796019900497512
12,-128.125000000000000,51.375000000000000,-127.875000000000000,51.125000000000000,11,0,119964,0,0,
13,-128.125000000000000,51.125000000000000,-127.875000000000000,50.875000000000000,12,0,120608,450,70,0.155555555555556
14,-128.125000000000000,50.875000000000000,-127.875000000000000,50.625000000000000,13,0,121250,7409,1382,0.186529896072344
15,-128.125000000000000,50.625000000000000,-127.875000000000000,50.375000000000000,14,0,121889,5301,1955,0.368798339935861
16,-128.125000000000000,50.375000000000000,-127.875000000000000,50.125000000000000,15,0,122526,670,228,0.340298507462687
17,-128.125000000000000,50.125000000000000,-127.875000000000000,49.875000000000000,16,0,123161,100,25,0.25
18,-128.125000000000000,49.875000000000000,-127.875000000000000,49.625000000000000,17,0,123793,0,0,
19,-128.125000000000000,49.625000000000000,-127.875000000000000,49.375000000000000,18,0,124423,0,0,
20,-128.125000000000000,49.375000000000000,-127.875000000000000,49.125000000000000,19,0,125050,0,0,
21,-128.125000000000000,49.125000000000000,-127.875000000000000,48.875000000000000,20,0,125675,0,0,
22,-128.125000000000000,48.875000000000000,-127.875000000000000,48.625000000000000,21,0,126297,0,0,
23,-128.125000000000000,48.625000000000000,-127.875000000000000,48.375000000000000,22,0,126917,0,0,
24,-128.125000000000000,48.375000000000000,-127.875000000000000,48.125000000000000,23,0,127534,0,0,
25,-127.875000000000000,54.125000000000000,-127.625000000000000,53.875000000000000,0,1,112725,7062,3114,0.440951571792693
26,-127.875000000000000,53.875000000000000,-127.625000000000000,53.625000000000000,1,1,113394,7114,2727,0.383328647736857
27,-127.875000000000000,53.625000000000000,-127.625000000000000,53.375000000000000,2,1,114062,7166,1930,0.269327379291097
28,-127.875000000000000,53.375000000000000,-127.625000000000000,53.125000000000000,3,1,114727,7195,2789,0.387630298818624
29,-127.875000000000000,53.125000000000000,-127.625000000000000,52.875000000000000,4,1,115389,7270,1340,0.184319119669876
30,-127.875000000000000,52.875000000000000,-127.625000000000000,52.625000000000000,5,1,116050,7287,638,0.0875531768903527
31,-127.875000000000000,52.625000000000000,-127.625000000000000,52.375000000000000,6,1,116708,7115,2437,0.342515811665495
32,-127.875000000000000,52.375000000000000,-127.625000000000000,52.125000000000000,7,1,117364,6093,2713,0.445265058263581
33,-127.875000000000000,52.125000000000000,-127.625000000000000,51.875000000000000,8,1,118018,5940,1482,0.249494949494949
34,-127.875000000000000,51.875000000000000,-127.625000000000000,51.625000000000000,9,1,118669,7233,1713,0.236831190377437
