id,left,top,right,bottom,row_index,col_index,acres,acres2,_count,_sum,_mean
1,-128.125000000000000,49.125000000000000,-127.875000000000000,48.875000000000000,0,0,0,125675,,,
2,-128.125000000000000,48.875000000000000,-127.875000000000000,48.625000000000000,1,0,0,126297,,,
3,-128.125000000000000,48.625000000000000,-127.875000000000000,48.375000000000000,2,0,0,126917,,,
4,-128.125000000000000,48.375000000000000,-127.875000000000000,48.125000000000000,3,0,0,127534,366904,0,0
5,-128.125000000000000,48.125000000000000,-127.875000000000000,47.875000000000000,4,0,0,128149,576225,0,0
6,-128.125000000000000,47.875000000000000,-127.875000000000000,47.625000000000000,5,0,0,128761,578975,0,0
7,-128.125000000000000,47.625000000000000,-127.875000000000000,47.375000000000000,6,0,0,129371,581711,0,0
8,-128.125000000000000,47.375000000000000,-127.875000000000000,47.125000000000000,7,0,0,129978,584448,0,0
9,-128.125000000000000,47.125000000000000,-127.875000000000000,46.875000000000000,8,0,0,130583,587171,0,0
10,-128.125000000000000,46.875000000000000,-127.875000000000000,46.625000000000000,9,0,0,131185,589869,0,0
11,-128.125000000000000,46.625000000000000,-127.875000000000000,46.375000000000000,10,0,0,131784,592567,0,0
12,-128.125000000000000,46.375000000000000,-127.875000000000000,46.125000000000000,11,0,0,132381,595257,0,0
13,-128.125000000000000,46.125000000000000,-127.875000000000000,45.875000000000000,12,0,0,132976,597928,0,0
14,-128.125000000000000,45.875000000000000,-127.875000000000000,45.625000000000000,13,0,0,133567,600581,0,0
15,-128.125000000000000,45.625000000000000,-127.875000000000000,45.375000000000000,14,0,0,134157,603240,0,0
16,-128.125000000000000,45.375000000000000,-127.875000000000000,45.125000000000000,15,0,0,134743,605867,0,0
17,-128.125000000000000,45.125000000000000,-127.875000000000000,44.875000000000000,16,0,0,135327,608506,0,0
18,-128.125000000000000,44.875000000000000,-127.875000000000000,44.625000000000000,17,0,0,135908,611106,0,0
19,-128.125000000000000,44.625000000000000,-127.875000000000000,44.375000000000000,18,0,0,136487,613720,0,0
20,-128.125000000000000,44.375000000000000,-127.875000000000000,44.125000000000000,19,0,0,137063,616301,0,0
21,-128.125000000000000,44.125000000000000,-127.875000000000000,43.875000000000000,20,0,0,137636,618872,0,0
22,-128.125000000000000,43.875000000000000,-127.875000000000000,43.625000000000000,21,0,0,138206,621448,0,0
23,-128.125000000000000,43.625000000000000,-127.875000000000000,43.375000000000000,22,0,0,138774,614165,0,0
24,-128.125000000000000,43.375000000000000,-127.875000000000000,43.125000000000000,23,0,0,139339,397017,0,0
25,-128.125000000000000,43.125000000000000,-127.875000000000000,42.875000000000000,24,0,0,139902,100222,0,0
26,-128.125000000000000,42.875000000000000,-127.875000000000000,42.625000000000000,25,0,0,140461,,,
27,-128.125000000000000,42.625000000000000,-127.875000000000000,42.375000000000000,26,0,0,141018,,,
28,-128.125000000000000,42.375000000000000,-127.875000000000000,42.125000000000000,27,0,0,141573,,,
29,-128.125000000000000,42.125000000000000,-127.875000000000000,41.875000000000000,28,0,0,142124,,,
30,-128.125000000000000,41.875000000000000,-127.875000000000000,41.625000000000000,29,0,0,142673,,,
31,-128.125000000000000,41.625000000000000,-127.875000000000000,41.375000000000000,30,0,0,143219,,,
32,-128.125000000000000,41.375000000000000,-127.875000000000000,41.125000000000000,31,0,0,143762,,,
33,-128.125000000000000,41.125000000000000,-127.875000000000000,40.875000000000000,32,0,0,144302,,,
34,-128.125000000000000,40.875000000000000,-127.875000000000000,40.625000000000000,33,0,0,144840,,,
35,-128.125000000000000,40.625000000000000,-127.875000000000000,40.375000000000000,34,0,0,145375,,,
36,-128.125000000000000,40.375000000000000,-127.875000000000000,40.125000000000000,35,0,0,145907,,,
37,-128.125000000000000,40.125000000000000,-127.875000000000000,39.875000000000000,36,0,0,146436,,,
38,-128.125000000000000,39.875000000000000,-127.875000000000000,39.625000000000000,37,0,0,146962,,,
39,-128.125000000000000,39.625000000000000,-127.875000000000000,39.375000000000000,38,0,0,147485,,,
40,-128.125000000000000,39.375000000000000,-127.875000000000000,39.125000000000000,39,0,0,148006,,,
41,-128.125000000000000,39.125000000000000,-127.875000000000000,38.875000000000000,40,0,0,148524,,,
42,-128.125000000000000,38.875000000000000,-127.875000000000000,38.625000000000000,41,0,0,149038,,,
43,-128.125000000000000,38.625000000000000,-127.875000000000000,38.375000000000000,42,0,0,149550,,,
44,-128.125000000000000,38.375000000000000,-127.875000000000000,38.125000000000000,43,0,0,150060,,,
45,-128.125000000000000,38.125000000000000,-127.875000000000000,37.875000000000000,44,0,0,150566,,,
46,-128.125000000000000,37.875000000000000,-127.875000000000000,37.625000000000000,45,0,0,151069,,,
47,-128.125000000000000,37.625000000000000,-127.875000000000000,37.375000000000000,46,0,0,151569,,,
48,-128.125000000000000,37.375000000000000,-127.875000000000000,37.125000000000000,47,0,0,152067,,,
49,-128.125000000000000,37.125000000000000,-127.875000000000000,36.875000000000000,48,0,0,152561,,,
50,-128.125000000000000,36.875000000000000,-127.875000000000000,36.625000000000000,49,0,0,153053,,,
51,-128.125000000000000,36.625000000000000,-127.875000000000000,36.375000000000000,50,0,0,153541,,,
52,-128.125000000000000,36.375000000000000,-127.875000000000000,36.125000000000000,51,0,0,154027,,,
